MX Premiums,,B2C,,B2C Cart Link,ex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,Z-AVDAVOUCHER,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,Z-AVDAVOUCHER,EF-VS938PBEGWW / EF-VS938PJEGWW / EF-VS938PLEGWW / EF-VS938PFEGWW,Z-AVDAVOUCHER,EF-US936CTEGWW,Z-AVDAVOUCHER,EF-US936CTEGWW,Z-AVDAVOUCHER,EF-VS931PBEGWW / EF-VS931PJEGWW/ EF-VS931PLEGWW / EF-VS931PFEGWW,Z-AVDAVOUCHER,EF-VS931PBEGWW / EF-VS931PJEGWW/ EF-VS931PLEGWW / EF-VS931PFEGWW,Z-AVDAVOUCHER,Z-AVDAVOUCHER,Z-AVDAVOUCHER,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,EF-VF741PJEGWW / EF-VF741PMEGWW / EF-VF741PYEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS928CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS928CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS928CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS926CUEGWW,Z-EP-T4511XBEGGB-M,Z-EF-GS926CUEGWW,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-EP-T4511XBEGGB-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX820UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-EF-DX920UBEGWW-M,Z-ITFITPW28-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITT12WE-M,Z-ITFITPW28-M,Z-ITFITPW28-M,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN6PBEGWW,Z-EF-LPUN4PBEGWW,Z-EF-LPUN4PBEGWW,Z-EF-LPUN4PBEGWW,Z-EF-LPUN4PBEGWW,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,Z-ET-SVL70MBEGWW-M,Z-ITFITPW03,Z-ITFITAC01,Z-ITFITAC01
MXP-9,Z-EF-GS928CUEGWW,1 x  Galaxy S24 Ultra Standing Grip Case,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9280LGPTGY&&products[0].quantity=1&&products[1].productCode=SM-S9280ZKHTGY&&products[1].quantity=1&&products[2].productCode=SM-S9280LBGTGY&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,3,"SM-S9280LGPTGY, SM-S9280ZKHTGY, SM-S9280LBGTGY","
",,,,,,,,,,,SM-S9280LGPTGY,SM-S9280ZKHTGY,SM-S9280LBGTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-10,Z-EF-GS926CUEGWW,1 x  Galaxy S24+ Standing Grip Case,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9260ZKDTGY&&products[0].quantity=1&&products[1].productCode=SM-S9260LBDTGY&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,2,"SM-S9260ZKDTGY, SM-S9260LBDTGY","
",,,,,,,,,,,SM-S9260ZKDTGY,SM-S9260LBDTGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-11,Z-ITT12WE-M,1 x  ITFIT True Wireless Earphones T12,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S7210ZAGTGY&&products[0].quantity=1&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1&&products[2].productCode=SM-A3660ZKGTGY&&products[2].quantity=1&&products[3].productCode=SM-A3660ZKDTGY&&products[3].quantity=1&&products[4].productCode=SM-A1660ZKGTGY&&products[4].quantity=1&&products[5].productCode=SM-A1660ZKITGY&&products[5].quantity=1&&products[6].productCode=SM-X520NZAATGY&&products[6].quantity=1&&products[7].productCode=SM-X520NLBETGY&&products[7].quantity=1&&products[8].productCode=SM-X526BZAETGY&&products[8].quantity=1&&products[9].productCode=SM-X620NZAATGY&&products[9].quantity=1&&products[10].productCode=SM-X620NLBETGY&&products[10].quantity=1&&products[11].productCode=SM-X626BZAETGY&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,12,"SM-S7210ZAGTGY, SM-A5660ZKDTGY, SM-A3660ZKGTGY, SM-A3660ZKDTGY, SM-A1660ZKGTGY, SM-A1660ZKITGY, SM-X520NZAATGY, SM-X520NLBETGY, SM-X526BZAETGY, SM-X620NZAATGY, SM-X620NLBETGY, SM-X626BZAETGY","
",,,,,,,,,,,SM-S7210ZAGTGY,SM-A5660ZKDTGY,SM-A3660ZKGTGY,SM-A3660ZKDTGY,SM-A1660ZKGTGY,SM-A1660ZKITGY,SM-X520NZAATGY,SM-X520NLBETGY,SM-X526BZAETGY,SM-X620NZAATGY,SM-X620NLBETGY,SM-X626BZAETGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-12,Z-ITFITPW28-M,1 x  ITFIT 45W Fast Charging Kit,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-A5660ZKDTGY&&products[0].quantity=1&&products[1].productCode=SM-A3660ZKGTGY&&products[1].quantity=1&&products[2].productCode=SM-A3660ZKDTGY&&products[2].quantity=1&&products[3].productCode=SM-X820NZAATGY&&products[3].quantity=1&&products[4].productCode=SM-X820NZAETGY&&products[4].quantity=1&&products[5].productCode=SM-X826BZAATGY&&products[5].quantity=1&&products[6].productCode=SM-X826BZAETGY&&products[6].quantity=1&&products[7].productCode=SM-X920NZAATGY&&products[7].quantity=1&&products[8].productCode=SM-X920NZAETGY&&products[8].quantity=1&&products[9].productCode=SM-X920NZSETGY&&products[9].quantity=1&&products[10].productCode=SM-X920NZAITGY&&products[10].quantity=1&&products[11].productCode=SM-X926BZAATGY&&products[11].quantity=1&&products[12].productCode=SM-X926BZSATGY&&products[12].quantity=1&&products[13].productCode=SM-X926BZAETGY&&products[12].quantity=1,Add to Cart,,16,"SM-A5660ZKDTGY, SM-A3660ZKGTGY, SM-A3660ZKDTGY, SM-X820NZAATGY, SM-X820NZAETGY, SM-X826BZAATGY, SM-X826BZAETGY, SM-X920NZAATGY, SM-X920NZAETGY, SM-X920NZSETGY, SM-X920NZAITGY, SM-X926BZAATGY, SM-X926BZSATGY, SM-X926BZAETGY, SM-X710NZAATGY, SM-X716BZAATGY","
",,,,,,,,,,,SM-A5660ZKDTGY,SM-A3660ZKGTGY,SM-A3660ZKDTGY,SM-X820NZAATGY,SM-X820NZAETGY,SM-X826BZAATGY,SM-X826BZAETGY,SM-X920NZAATGY,SM-X920NZAETGY,SM-X920NZSETGY,SM-X920NZAITGY,SM-X926BZAATGY,SM-X926BZSATGY,SM-X926BZAETGY,SM-X710NZAATGY,SM-X716BZAATGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-13,Z-EF-DX820UBEGWW-M,1 x  Galaxy Tab S10+  Book Cover Keyboard Slim - AI Key Black,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X820NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-X820NZAETGY&&products[1].quantity=1&&products[2].productCode=SM-X826BZAATGY&&products[2].quantity=1&&products[3].productCode=SM-X826BZAETGY&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,4,"SM-X820NZAATGY, SM-X820NZAETGY, SM-X826BZAATGY, SM-X826BZAETGY","
",,,,,,,,,,,SM-X820NZAATGY,SM-X820NZAETGY,SM-X826BZAATGY,SM-X826BZAETGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-14,Z-EF-DX920UBEGWW-M,1 x  Galaxy Tab S10U Book Cover Keyboard Slim - AI Key Black,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X920NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-X920NZAETGY&&products[1].quantity=1&&products[2].productCode=SM-X920NZSETGY&&products[2].quantity=1&&products[3].productCode=SM-X920NZAITGY&&products[3].quantity=1&&products[4].productCode=SM-X926BZAATGY&&products[4].quantity=1&&products[5].productCode=SM-X926BZSATGY&&products[5].quantity=1&&products[6].productCode=SM-X926BZAETGY&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,7,"SM-X920NZAATGY, SM-X920NZAETGY, SM-X920NZSETGY, SM-X920NZAITGY, SM-X926BZAATGY, SM-X926BZSATGY, SM-X926BZAETGY","
",,,,,,,,,,,SM-X920NZAATGY,SM-X920NZAETGY,SM-X920NZSETGY,SM-X920NZAITGY,SM-X926BZAATGY,SM-X926BZSATGY,SM-X926BZAETGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-15,Z-EF-LPUN6PBEGWW,"1 x  Galaxy Book Slim Pouch 16""",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=NP960QHA-KG1HK&&products[0].quantity=1&&products[1].productCode=NP960QHA-KS1HK&&products[1].quantity=1&&products[2].productCode=NP960QHA-KG2HK&&products[2].quantity=1&&products[3].productCode=NP960XHA-KG1HK&&products[3].quantity=1&&products[4].productCode=NP960XHA-KS1HK&&products[4].quantity=1&&products[5].productCode=NP960XHA-KG2HK&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,6,"NP960QHA-KG1HK, NP960QHA-KS1HK, NP960QHA-KG2HK, NP960XHA-KG1HK, NP960XHA-KS1HK, NP960XHA-KG2HK","
",,,,,,,,,,,NP960QHA-KG1HK,NP960QHA-KS1HK,NP960QHA-KG2HK,NP960XHA-KG1HK,NP960XHA-KS1HK,NP960XHA-KG2HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-16,Z-EF-LPUN4PBEGWW,"1 x  Galaxy Book Slim Pouch 14""",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=NP940XHA-KG1HK&&products[0].quantity=1&&products[1].productCode=NP940XHA-KS1HK&&products[1].quantity=1&&products[2].productCode=NP940XHA-KG2HK&&products[2].quantity=1&&products[3].productCode=NP940XHA-KG3HK&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,4,"NP940XHA-KG1HK, NP940XHA-KS1HK, NP940XHA-KG2HK, NP940XHA-KG3HK","
",,,,,,,,,,,NP940XHA-KG1HK,NP940XHA-KS1HK,NP940XHA-KG2HK,NP940XHA-KG3HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-17,Z-ET-SVL31LNEGWW-M / Z-ET-SVL30SWEGWW-M,1 x  Fabric Band,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L300NZGATGY&&products[0].quantity=1&&products[1].productCode=SM-L305FZGATGY&&products[1].quantity=1&&products[2].productCode=SM-L310NZGATGY&&products[2].quantity=1&&products[3].productCode=SM-L315FZGATGY&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,4,"SM-L300NZGATGY, SM-L305FZGATGY, SM-L310NZGATGY, SM-L315FZGATGY","
",,,,,,,,,,,SM-L300NZGATGY,SM-L305FZGATGY,SM-L310NZGATGY,SM-L315FZGATGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-18,Z-ET-SVL70MBEGWW-M,1 x  Trail Band,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,1,SM-L705FDAATGY,"
",,,,,,,,,,,SM-L705FDAATGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-19,Z-ITFITPW03,1 x  ITFIT Universal Travel Adapter,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZWATGY&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,1,SM-R630NZWATGY,"
",,,,,,,,,,,SM-R630NZWATGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXP-20,Z-ITFITAC01,1 x  Galaxy SmartTag2 Protective Cover with Key Ring,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EI-T5600BBEGWW&&products[0].quantity=1&&products[1].productCode=EI-T5600KWEGWW&&products[1].quantity=1&&products[2].productCode=&&products[2].quantity=1&&products[3].productCode=&&products[3].quantity=1&&products[4].productCode=&&products[4].quantity=1&&products[5].productCode=&&products[5].quantity=1&&products[6].productCode=&&products[6].quantity=1&&products[7].productCode=&&products[7].quantity=1&&products[8].productCode=&&products[8].quantity=1&&products[9].productCode=&&products[9].quantity=1&&products[10].productCode=&&products[10].quantity=1&&products[11].productCode=&&products[11].quantity=1&&products[12].productCode=&&products[12].quantity=1&&products[13].productCode=&&products[12].quantity=1,Add to Cart,,2,"EI-T5600BBEGWW, EI-T5600KWEGWW","
",,,,,,,,,,,EI-T5600BBEGWW,EI-T5600KWEGWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
