Bundle & Codes,,,,,,123,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,SKU ARRAY,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward / Extra Discount,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 40mm (BT), Cream [SM-L300NZEATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L300NZEATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L300NZEATGY, SM-A5660ZKDTGY",SM-L300NZEATGY,B2C,"
",SM-L300NZEATGY,2,2,"3,996","1,998","1,798","1,798",,,0,200.00,200,RRP,"1,798.00","1,798.00","3,596.00","3,596.00","3,596.00","3,396.00","7,094.00",0.00,"3,396.00","7,094.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 44LTE
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 44mm (LTE) Graphite [SM-L335FDAATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L335FDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L335FDAATGY, SM-A5660ZKDTGY",SM-L335FDAATGY,B2C,"
0",SM-L335FDAATGY,2,0,0,"3,198",,"3,198",0,,0,200.00,300,RRP,"2,898.00","2,898.00",-300.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 44BT
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 44mm (BT) Graphite [SM-L330NDAATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L330NDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L330NDAATGY, SM-A5660ZKDTGY",SM-L330NDAATGY,B2C,"
0",SM-L330NDAATGY,2,0,0,"2,798",,"2,798",0,,0,200.00,300,RRP,"2,498.00","2,498.00",-300.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 40LTE
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 40mm (LTE) Graphite [SM-L325FDAATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L325FDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L325FDAATGY, SM-A5660ZKDTGY",SM-L325FDAATGY,B2C,"
0",SM-L325FDAATGY,2,0,0,"2,998",,"2,998",0,,0,200.00,300,RRP,"2,698.00","2,698.00",-300.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 40BT 
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 40mm (BT) Graphite [SM-L320NDAATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L320NDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L320NDAATGY, SM-A5660ZKDTGY",SM-L320NDAATGY,B2C,"
0",SM-L320NDAATGY,2,0,0,"2,598",,"2,598",0,,0,200.00,300,RRP,"2,298.00","2,298.00",-300.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP Wise8 LTE

(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Wise8 (LTE) Black [SM-L505FZKATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L505FZKATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L505FZKATGY, SM-A5660ZKDTGY",SM-L505FZKATGY,B2C,"
0",SM-L505FZKATGY,2,0,0,"4,198",,"4,198",0,,0,200.00,400,RRP,"3,798.00","3,798.00",-400.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP Wise8 BT
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Wise8 (BT) Black [SM-L500NZKATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-L500NZKATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L500NZKATGY, SM-A5660ZKDTGY",SM-L500NZKATGY,B2C,"
0",SM-L500NZKATGY,2,0,0,"3,798",,"3,798",0,,0,200.00,400,RRP,"3,398.00","3,398.00",-400.00,0.00,0.00,0.00,"3,698.00",0.00,0.00,"3,698.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-10,SMP B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9280ZTGTGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-S9280ZTGTGY",SM-R630NZAATGY,B2C,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,798","1,798",0,,0,0.00,500,RRP,"1,498.00","1,498.00","3,296.00","3,296.00","3,296.00","3,296.00","3,296.00",0.00,"3,296.00","3,296.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S24 Ultra, 256GB, Titanium Gray [SM-S9280ZTGTGY]",,,SM-S9280ZTGTGY,B2C,"
0",SM-S9280ZTGTGY,1,0,0,"9,098","8,006","8,006",0,,0,,,,,"8,006.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-11,S25FF B3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9380ZSGTGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-S9380ZSGTGY",SM-R530NZAATGY,B2C,"
",SM-R530NZAATGY,2,2,"2,796","1,398",,"1,398",0,,0,350.00,899,RRP,499.00,499.00,"1,897.00",0.00,0.00,"1,897.00","12,195.00",0.00,"1,897.00","12,195.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver [SM-S9380ZSGTGY]",,,SM-S9380ZSGTGY,B2C,"
",SM-S9380ZSGTGY,1,1,"10,898","10,898","10,298","10,298",350,,350,,,,,"10,298.00","10,298.00",0.00,,"10,298.00",,,"10,298.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-12,SMP B3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZADTGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-A5660ZADTGY",SM-R530NZAATGY,B2C,"
",SM-R530NZAATGY,2,2,"2,796","1,398",,"1,398",0,,0,200.00,500,RRP,898.00,898.00,"2,296.00",0.00,0.00,"2,296.00","5,994.00",0.00,"2,296.00","5,994.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Lightgray [SM-A5660ZADTGY]",,,SM-A5660ZADTGY,B2C,"
",SM-A5660ZADTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-13,S25FF Ring,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Ring, Titanium Gold / 9 [SM-Q509NZDATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-Q509NZDATGY&&products[0].quantity=2&&products[1].productCode=SM-S9380ZSGTGY&&products[1].quantity=1,"SM-Q509NZDATGY, SM-S9380ZSGTGY",SM-Q509NZDATGY,B2C,"
0",SM-Q509NZDATGY,2,0,0,"3,298",,"3,298",,,0,350.00,600,RRP,"2,698.00","2,698.00",-600.00,0.00,0.00,0.00,"10,298.00",0.00,0.00,"10,298.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver [SM-S9380ZSGTGY]",,,SM-S9380ZSGTGY,B2C,"
",SM-S9380ZSGTGY,1,1,"10,898","10,898","10,298","10,298",350,,350,,,,,"10,298.00","10,298.00",0.00,,"10,298.00",,,"10,298.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-14,Non-S25FF Ring,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Ring, Titanium Gold / 9 [SM-Q509NZDATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-Q509NZDATGY&&products[0].quantity=1&&products[1].productCode=SM-S9280LGHTGY&&products[1].quantity=1,"SM-Q509NZDATGY, SM-S9280LGHTGY",SM-Q509NZDATGY,B2C,"
0",SM-Q509NZDATGY,1,0,0,"3,298",,"3,298",,,0,500.00,,,,"3,298.00",0.00,0.00,0.00,0.00,"8,886.00",0.00,0.00,"8,886.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S24 Ultra, 512GB, Titanium Green (eStore) [SM-S9280LGHTGY]",,,SM-S9280LGHTGY,B2C,"
",SM-S9280LGHTGY,1,1,"10,098","10,098","8,886","8,886",500,,500,,,,,"8,886.00","8,886.00",0.00,,"8,886.00",,,"8,886.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-15,A Fit3,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Fit3 [SM-R390NIDATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R390NIDATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-R390NIDATGY, SM-A5660ZKDTGY",SM-R390NIDATGY,B2C,"
",SM-R390NIDATGY,2,2,996,498,,498,,,0,200.00,100,RRP,398.00,398.00,896.00,896.00,896.00,696.00,"4,394.00",0.00,696.00,"4,394.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,,,,"3,698.00","3,698.00",0.00,,"3,698.00",,,"3,698.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-15,Non-A Fit3,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Fit3 [SM-R390NIDATGY],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-R390NIDATGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZKWTGY&&products[1].quantity=1,"SM-R390NIDATGY, SM-S9380ZKWTGY",SM-R390NIDATGY,B2C,"
",SM-R390NIDATGY,1,1,498,498,,498,,,0,350.00,,,,498.00,498.00,498.00,498.00,148.00,"12,746.00",0.00,148.00,"12,746.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Black [SM-S9380ZKWTGY]",,,SM-S9380ZKWTGY,B2C,"
",SM-S9380ZKWTGY,1,1,"13,398","13,398","12,598","12,598",350,,350,,,,,"12,598.00","12,598.00",0.00,,"12,598.00",,,"12,598.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-01,Tab S10U accy,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Tab S10U Book Cover Keyboard - AI Key White [EF-DX925UWEGWW],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-DX925UWEGWW&&products[0].quantity=3&&products[1].productCode=SM-X920NZAITGY&&products[1].quantity=1,"EF-DX925UWEGWW, SM-X920NZAITGY",EF-DX925UWEGWW,B2C,"
",EF-DX925UWEGWW,3,3,"5,997","1,999",,"1,999",,,0,500.00,30%,RRP,"1,399.30","1,399.30","5,397.30","5,397.30","5,397.30","4,897.30","14,885.30",0.00,"4,897.30","14,885.30",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 Ultra Wifi, 16GB+1TB, Moonstone Gray (Online Exclusive) [SM-X920NZAITGY]",,,SM-X920NZAITGY,B2C,"
",SM-X920NZAITGY,1,1,"12,588","12,588","9,988","9,988",500,,500,,,,,"9,988.00","9,988.00",0.00,,"9,988.00",,,"9,988.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-02,Tab S10+ accy,Perfect Partner,,,1,Add all to cart using this link,,,Galaxy Tab S10+  Book Cover Keyboard - AI Key White [EF-DX825UWEGWW],https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-DX825UWEGWW&&products[0].quantity=3&&products[1].productCode=SM-X826BZAETGY&&products[1].quantity=1,"EF-DX825UWEGWW, SM-X826BZAETGY",EF-DX825UWEGWW,B2C,"
0",EF-DX825UWEGWW,3,0,0,"1,299",,"1,299",,,0,500.00,30%,RRP,909.30,909.30,-389.70,-389.70,-389.70,0.00,"7,888.00",0.00,0.00,"7,888.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10+ 5G, 12GB+512GB, Moonstone Gray [SM-X826BZAETGY]",,,SM-X826BZAETGY,B2C,"
",SM-X826BZAETGY,1,1,"9,888","9,888","7,888","7,888",500,,500,,,,,"7,888.00","7,888.00",0.00,,"7,888.00",,,"7,888.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-03,Tab S10 FE accy 1,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Book Cover Keyboard Slim — AI Key Black [EF-DX720UBEGWW]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-DX720UBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-DX720UBEGWW, SM-X520NLBETGY",EF-DX720UBEGWW,B2C,"
0",EF-DX720UBEGWW,3,0,0,799,,799,,,0,"1,080.00",300,RRP,499.00,499.00,-300.00,-300.00,-300.00,0.00,"4,588.00",0.00,0.00,"4,588.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB [SM-X520NLBETGY]",,,SM-X520NLBETGY,B2C,"
",SM-X520NLBETGY,1,1,"4,588","4,588",,"4,588","1,080",,"1,080",,,,,"4,588.00","4,588.00",0.00,,"4,588.00",,,"4,588.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAB-AY-04,Tab S10 FE accy 2,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Book Cover Keyboard — AI Key Black [EF-DX725UBEGWW]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=EF-DX725UBEGWW&&products[0].quantity=3&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-DX725UBEGWW, SM-X520NLBETGY",EF-DX725UBEGWW,B2C,"
",EF-DX725UBEGWW,3,3,"3,597","1,199",,"1,199",,,0,"1,080.00",500,RRP,699.00,699.00,"3,097.00","3,097.00","3,097.00","2,017.00","6,605.00",0.00,"2,017.00","6,605.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB [SM-X520NLBETGY]",,,SM-X520NLBETGY,B2C,"
",SM-X520NLBETGY,1,1,"4,588","4,588",,"4,588","1,080",,"1,080",,,,,"4,588.00","4,588.00",0.00,,"4,588.00",,,"4,588.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
