Bundle SPP,,,,,,110,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=&&products[1].productCode=&&products[1].quantity=,,,,"
",,,,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX Critcal Jul,,Perfect Partner,,,,May 1 - 31,,,,,,,,"
",,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,"SMP WU 2024 
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch Ultra, Titanium Gray [SM-L705FDAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-L705FDAATGY, SM-S9360ZKGTGY",SM-L705FDAATGY,SPP,"
0",SM-L705FDAATGY,2,0,"10,196","5,098","3,824","3,824",,,,0.00,500,RRP,"3,824.00","3,824.00",0.00,0.00,0.00,0.00,"7,136.00",0.00,0.00,"7,136.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive [SM-S9360ZKGTGY]",,,SM-S9360ZKGTGY,SPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,,,,,,"7,136.00","7,136.00",0.00,,"7,136.00",,,"7,136.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP X2
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,X2 (2025) Titanium Blue [SM-L705FZB1TGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L705FZB1TGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L705FZB1TGY, SM-A5660ZKDTGY",SM-L705FZB1TGY,SPP,"
",SM-L705FZB1TGY,2,2,0,,,,0,,,0.00,500,RRP,-500.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (LTE), Silver [SM-L315FZSATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L315FZSATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L315FZSATGY, SM-A5660ZKDTGY",SM-L315FZSATGY,SPP,"
0",SM-L315FZSATGY,2,0,"5,196","2,598","2,249","2,249",,,,0.00,200,RRP,"2,249.00","2,249.00",0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (BT), Green [SM-L310NZGATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L310NZGATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L310NZGATGY, SM-A5660ZKDTGY",SM-L310NZGATGY,SPP,"
",SM-L310NZGATGY,2,2,"4,396","2,198","1,949","1,949",,,,0.00,200,RRP,"1,949.00","1,949.00","3,898.00","3,898.00","3,898.00","3,898.00","6,897.00",0.00,"3,898.00","6,897.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 40mm (LTE), Cream [SM-L305FZEATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L305FZEATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L305FZEATGY, SM-A5660ZKDTGY",SM-L305FZEATGY,SPP,"
0",SM-L305FZEATGY,2,0,"4,796","2,398","2,099","2,099",,,,0.00,200,RRP,"2,099.00","2,099.00",0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W7 44LTE
(starting Jul 15)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Watch7 40mm (BT), Cream [SM-L300NZEATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L300NZEATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L300NZEATGY, SM-A5660ZKDTGY",SM-L300NZEATGY,SPP,"
0",SM-L300NZEATGY,2,0,"3,996","1,998","1,799","1,799",,,,0.00,200,RRP,"1,798.00","1,798.00",-1.00,-1.00,-1.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 44LTE
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 44mm (LTE) Graphite [SM-L335FDAATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L335FDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L335FDAATGY, SM-A5660ZKDTGY",SM-L335FDAATGY,SPP,"
",SM-L335FDAATGY,2,2,0,,,,0,,,0.00,300,RRP,-300.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 44BT
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 44mm (BT) Graphite [SM-L330NDAATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L330NDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L330NDAATGY, SM-A5660ZKDTGY",SM-L330NDAATGY,SPP,"
",SM-L330NDAATGY,2,2,0,,,,0,,,0.00,300,RRP,-300.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 40LTE
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 40mm (LTE) Graphite [SM-L325FDAATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L325FDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L325FDAATGY, SM-A5660ZKDTGY",SM-L325FDAATGY,SPP,"
",SM-L325FDAATGY,2,2,0,,,,0,,,0.00,300,RRP,-300.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP W8 40BT 
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Fresh8 40mm (BT) Graphite [SM-L320NDAATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L320NDAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L320NDAATGY, SM-A5660ZKDTGY",SM-L320NDAATGY,SPP,"
",SM-L320NDAATGY,2,2,0,,,,0,,,0.00,300,RRP,-300.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP Wise8 LTE

(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Wise8 (LTE) Black [SM-L505FZKATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L505FZKATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L505FZKATGY, SM-A5660ZKDTGY",SM-L505FZKATGY,SPP,"
",SM-L505FZKATGY,2,2,0,,,,0,,,0.00,400,RRP,-400.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMP Wise8 BT
 
(starting Jul 10)",Perfect Partner,,,1,Add all to cart using this link,,,Wise8 (BT) Black [SM-L500NZKATGY],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L500NZKATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-L500NZKATGY, SM-A5660ZKDTGY",SM-L500NZKATGY,SPP,"
",SM-L500NZKATGY,2,2,0,,,,0,,,0.00,400,RRP,-400.00,0.00,0.00,0.00,0.00,0.00,"2,999.00",0.00,0.00,"2,999.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,SPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-10,SMP B3P,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9280ZTGTGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-S9280ZTGTGY",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,2,2,"3,996","1,998","1,499","1,499",0,,,0.00,500,RRP,"1,498.00","1,498.00","2,997.00","2,997.00","2,997.00","2,997.00","2,997.00",0.00,"2,997.00","2,997.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S24 Ultra, 256GB, Titanium Gray [SM-S9280ZTGTGY]",,,SM-S9280ZTGTGY,SPP,"
0",SM-S9280ZTGTGY,1,0,"9,098","9,098","7,278","7,278",500,,,,,,,"7,278.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-11,S25FF B3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-S9380ZSGTGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-S9380ZSGTGY",SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,2,2,"2,796","1,398","1,049","1,049",0,,,0.00,899,RRP,499.00,499.00,"1,548.00",0.00,0.00,"1,548.00","10,593.00",0.00,"1,548.00","10,593.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver [SM-S9380ZSGTGY]",,,SM-S9380ZSGTGY,SPP,"
",SM-S9380ZSGTGY,1,1,"10,898","10,898","9,045","9,045",350,,,,,,,"9,045.00","9,045.00",0.00,,"9,045.00",,,"9,045.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-12,SMP B3,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=2&&products[1].productCode=SM-A5660ZADTGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-A5660ZADTGY",SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,2,2,"2,796","1,398","1,049","1,049",0,,,0.00,500,RRP,898.00,898.00,"1,947.00",0.00,0.00,"1,947.00","4,946.00",0.00,"1,947.00","4,946.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Lightgray [SM-A5660ZADTGY]",,,SM-A5660ZADTGY,SPP,"
",SM-A5660ZADTGY,1,1,"3,698","3,698","2,999","2,999",200,,,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXBUN-13,S25FF Ring,Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy Ring, Titanium Gold / 9 [SM-Q509NZDATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-Q509NZDATGY&&products[0].quantity=2&&products[1].productCode=SM-S9380ZSGTGY&&products[1].quantity=1,"SM-Q509NZDATGY, SM-S9380ZSGTGY",SM-Q509NZDATGY,SPP,"
",SM-Q509NZDATGY,2,2,"6,596","3,298","2,638","2,638",,,,0.00,600,RRP,"2,638.00","2,638.00","5,276.00",0.00,0.00,"5,276.00","14,321.00",0.00,"5,276.00","14,321.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Whitesilver [SM-S9380ZSGTGY]",,,SM-S9380ZSGTGY,SPP,"
",SM-S9380ZSGTGY,1,1,"10,898","10,898","9,045","9,045",350,,,,,,,"9,045.00","9,045.00",0.00,,"9,045.00",,,"9,045.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
