Galaxy2025,,,,,,Go to B2C Cart Page,,,,,Via buy page,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
Key,PA2-HR-TI,,,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive","SM-S9360, 512GB",Y,SM-S9360ZKGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9360ZKGTGY,SM-S9360ZKGTGY,"8,598","8,098",,,"8,098",Yes,,0,No,S25 Series,0,Use GC,S25+,300,300,PA HR (WhatsApp),Y6W-X16Y-8S22-67N2,,,"8,098.00",2025/02/11,Z-TRADEIN300,,,,,,,,,,Z-TRADEIN300,1,"
●  1 x  Extra HK$300 Trade-in Rebate [Z-TRADEIN300]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA2-HR-NTI,,,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive","SM-S9360, 512GB",Y,SM-S9360ZKGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9360ZKGTGY,SM-S9360ZKGTGY,"8,598","8,098",,,"8,098",No,,0,No,S25 Series,0,Use GC,S25+ (HR without TI),600,600,PA Thank you (eDM),KR1-TPA5-BE33-6KTZ,,,"8,098.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA2-CRM-TI,,,,,"Galaxy S25+, 256GB+12GB, Blueblack, exclusive","SM-S9360, 256GB",Y,SM-S9360ZKDTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9360ZKDTGY,SM-S9360ZKDTGY,"7,598",,,,"7,598",Yes,,0,No,S25 Series,0,Use GC,S25+ (CRM with TI),500,500,PA CRM Event  (Email),W1K-S36M-724T-BLPC,,,"7,598.00",2025/02/11,Z-TRADEIN300,Z-ITFITPW28-M,,,,,,,,,"Z-TRADEIN300,Z-ITFITPW28-M",2,"
●  1 x  Extra HK$300 Trade-in Rebate [Z-TRADEIN300]
●  1 x  ITFIT 45W Fast Charging Kit [Z-ITFITPW28-M]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA2CRM-NTI,,,,,"Galaxy S25+, 256GB+12GB, Blueblack, exclusive","SM-S9360, 256GB",Y,SM-S9360ZKDTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9360ZKDTGY,SM-S9360ZKDTGY,"7,598",,,,"7,598",No,,0,No,S25 Series,0,Use GC,S25+ (CRM without TI),800,800,PA Samsung Live (Email),W9K-R1W3-DPDN-C3L5,,,"7,598.00",2025/02/11,,Z-ITFITPW28-M,,,,,,,,,Z-ITFITPW28-M,1,"
●  1 x  ITFIT 45W Fast Charging Kit [Z-ITFITPW28-M]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA1,,,,,"Galaxy S25, 512GB+8GB, Blueblack, exclusive","SM-S9310, 512GB",Y,SM-S9310ZKHTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9310ZKHTGY,SM-S9310ZKHTGY,"6,898","6,398",,,"6,398",No,,0,Yes,S25 Series,998,Use GC,S25 base,300,300,,,,,"6,398.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA1-HR-TI,,,,,"Galaxy S25, 512GB+8GB, Blueblack, exclusive","SM-S9310, 512GB",Y,SM-S9310ZKHTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9310ZKHTGY,SM-S9310ZKHTGY,"6,898","6,398",,,"6,398",Yes,,0,No,S25 Series,0,Use GC,S25 base,300,300,PA Thank you (ePromoter),KR6-WH4Z-LPT1-7ZH3,,,"6,398.00",2025/02/11,Z-TRADEIN300,,,,,,,,,,Z-TRADEIN300,1,"
●  1 x  Extra HK$300 Trade-in Rebate [Z-TRADEIN300]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA1-HR-NTI,,,,,"Galaxy S25, 512GB+8GB, Blueblack, exclusive","SM-S9310, 512GB",Y,SM-S9310ZKHTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9310ZKHTGY,SM-S9310ZKHTGY,"6,898","6,398",,,"6,398",No,,0,No,S25 Series,0,Use GC,S25 base (HR without TI),600,600,PA Thank you (WhatsApp),KR3-KHL9-A56N-LKEW,,,"6,398.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA1-CRM-TI,,,,,"Galaxy S25, 256GB+8GB, Blueblack, exclusive","SM-S9310, 256GB",Y,SM-S9310ZKGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9310ZKGTGY,SM-S9310ZKGTGY,"5,898",,,,"5,898",Yes,,0,No,S25 Series,0,Use GC,S25 base (CRM with TI),500,500,PA CRM Event  (Generic code 1),S25CRM2025,,,"5,898.00",2025/02/11,Z-TRADEIN300,Z-ITFITPW28-M,,,,,,,,,"Z-TRADEIN300,Z-ITFITPW28-M",2,"
●  1 x  Extra HK$300 Trade-in Rebate [Z-TRADEIN300]
●  1 x  ITFIT 45W Fast Charging Kit [Z-ITFITPW28-M]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,PA1-CRM-NTI,,,,,"Galaxy S25, 256GB+8GB, Blueblack, exclusive","SM-S9310, 256GB",Y,SM-S9310ZKGTGY,https://www.samsung.com/hk/smartphones/galaxy-s25/buy/?modelCode=SM-S9310ZKGTGY,SM-S9310ZKGTGY,"5,898",,,,"5,898",No,,0,No,S25 Series,0,Use GC,S25 base (CRM without TI),800,800,PA CRM Event  (Generic code 2),S25CRMLHP,,,"5,898.00",2025/02/11,,Z-ITFITPW28-M,,,,,,,,,Z-ITFITPW28-M,1,"
●  1 x  ITFIT 45W Fast Charging Kit [Z-ITFITPW28-M]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,GB5,,,,,,,-,,,,0,0,,,0,,,0,,,0,,,0,0,,,,,0.00,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-HR,,,,,"Galaxy Book5 Pro 360, 16""/i7/32GB/1TB, Gray",NP960QHA-KG1HK,Y,NP960QHA-KG1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro360/buy/?modelCode=NP960QHA-KG1HK,NP960QHA-KG1HK,"16,180","15,180",,,"15,180",Yes,Book5 Pro 360,"1,000",Yes,Book Tier 4: Premium (RRP >=$15000),"1,998",N/A,,0,0,PA HR (eDM),Y3W-SBE5-RGWY-B7ER,10%,,"13,662.00",2025/02/11,Z-EF-LPUN6PBEGWW,,,,,,,,,,Z-EF-LPUN6PBEGWW,1,"
●  1 x  Galaxy Book Slim Pouch 16"" [Z-EF-LPUN6PBEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-CRM,,,,,"Galaxy Book5 Pro 360, 16""/i7/32GB/1TB, Silver",NP960QHA-KS1HK,Y,NP960QHA-KS1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro360/buy/?modelCode=NP960QHA-KS1HK,NP960QHA-KS1HK,"16,180","15,180",,,"15,180",Yes,Book5 Pro 360,"1,000",Yes,Book Tier 4: Premium (RRP >=$15000),"1,998",N/A,,0,0,PA CRM Event  (WhatsApp),W1Y-LPEY-G9YG-9R9B,10%,,"13,662.00",2025/02/11,Z-EF-LPUN6PBEGWW,Z-EJ-M3400DBEGWW,,,,,,,,,"Z-EF-LPUN6PBEGWW,Z-EJ-M3400DBEGWW",2,"
●  1 x  Galaxy Book Slim Pouch 16"" [Z-EF-LPUN6PBEGWW]
●  1 x  Bluetooth Mouse Slim [Z-EJ-M3400DBEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,DEL1,,,,,"Galaxy Book5 Pro 360, 16""/i7/16GB/1TB, Gray",NP960QHA-KG2HK,Y,NP960QHA-KG2HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro360/buy/?modelCode=NP960QHA-KG2HK,NP960QHA-KG2HK,"15,180",,,,"15,180",Yes,Book5 Pro 360,"1,000",Yes,Book Tier 4: Premium (RRP >=$15000),"1,998",N/A,,0,0,,,,,"15,180.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-CRM-G1,,,,,"Galaxy Book5 Pro, 16""/i7/32GB/1TB, Gray",NP960XHA-KG1HK,Y,NP960XHA-KG1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP960XHA-KG1HK,NP960XHA-KG1HK,"14,880","14,280",,,"14,280",Yes,Book5 Pro,"1,000",Yes,Book Tier 3: High (RRP $12000-$14999),"1,598",N/A,,0,0,PA CRM Event  (Generic code 1),S25CRM2025,10%,,"12,852.00",2025/02/11,Z-EF-LPUN6PBEGWW,Z-EJ-M3400DBEGWW,,,,,,,,,"Z-EF-LPUN6PBEGWW,Z-EJ-M3400DBEGWW",2,"
●  1 x  Galaxy Book Slim Pouch 16"" [Z-EF-LPUN6PBEGWW]
●  1 x  Bluetooth Mouse Slim [Z-EJ-M3400DBEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-CRM-G2,,,,,"Galaxy Book5 Pro, 16""/i7/32GB/1TB, Silver",NP960XHA-KS1HK,Y,NP960XHA-KS1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP960XHA-KS1HK,NP960XHA-KS1HK,"14,880","14,280",,,"14,280",Yes,Book5 Pro,"1,000",Yes,Book Tier 3: High (RRP $12000-$14999),"1,598",N/A,,0,0,PA CRM Event  (Generic code 2),S25CRMLHP,10%,,"12,852.00",2025/02/11,Z-EF-LPUN6PBEGWW,Z-EJ-M3400DBEGWW,,,,,,,,,"Z-EF-LPUN6PBEGWW,Z-EJ-M3400DBEGWW",2,"
●  1 x  Galaxy Book Slim Pouch 16"" [Z-EF-LPUN6PBEGWW]
●  1 x  Bluetooth Mouse Slim [Z-EJ-M3400DBEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,DEL2,,,,,"Galaxy Book5 Pro, 16""/i7/16GB/1TB, Gray",NP960XHA-KG2HK,Y,NP960XHA-KG2HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP960XHA-KG2HK,NP960XHA-KG2HK,"14,280",,,,"14,280",Yes,Book5 Pro,"1,000",Yes,Book Tier 3: High (RRP $12000-$14999),"1,598",N/A,,0,0,,,,,"14,280.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-SLive,,,,,"Galaxy Book5 Pro, 14""/i7/32GB/1TB, Gray",NP940XHA-KG1HK,Y,NP940XHA-KG1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP940XHA-KG1HK,NP940XHA-KG1HK,"14,180","13,580",,,"13,580",Yes,Book5 Pro,"1,000",Yes,Book Tier 3: High (RRP $12000-$14999),"1,598",N/A,,0,0,PA Samsung Live (WhatsApp),WY1-LEWK-N75M-CRNA,10%,,"12,222.00",2025/02/11,Z-EF-LPUN4PBEGWW,Z-EJ-M3400DBEGWW,,,,,,,,,"Z-EF-LPUN4PBEGWW,Z-EJ-M3400DBEGWW",2,"
●  1 x  Galaxy Book Slim Pouch 14"" [Z-EF-LPUN4PBEGWW]
●  1 x  Bluetooth Mouse Slim [Z-EJ-M3400DBEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-CRMTY,,,,,"Galaxy Book5 Pro, 14""/i7/32GB/1TB, Silver",NP940XHA-KS1HK,Y,NP940XHA-KS1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP940XHA-KS1HK,NP940XHA-KS1HK,"14,180","13,580",,,"13,580",Yes,Book5 Pro,"1,000",Yes,Book Tier 3: High (RRP $12000-$14999),"1,598",N/A,,0,0,PA CRM Event + Thank you (Email),W6K-BWSM-7KB8-7WTN,10%,,"12,222.00",2025/02/11,Z-EF-LPUN4PBEGWW,Z-EJ-M3400DBEGWW,Z-EE-P5400USEGWW,,,,,,,,"Z-EF-LPUN4PBEGWW,Z-EJ-M3400DBEGWW,Z-EE-P5400USEGWW",3,"
●  1 x  Galaxy Book Slim Pouch 14"" [Z-EF-LPUN4PBEGWW]
●  1 x  Bluetooth Mouse Slim [Z-EJ-M3400DBEGWW]
●  1 x  Mutiport Adapter [Z-EE-P5400USEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,DEL3,,,,,"Galaxy Book5 Pro, 14""/i7/16GB/1TB, Gray",NP940XHA-KG2HK,Y,NP940XHA-KG2HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP940XHA-KG2HK,NP940XHA-KG2HK,"13,580",,,,"13,580",Yes,Book5 Pro,"1,000",Yes,Book Tier 3: High (RRP $12000-$14999),"1,598",N/A,,0,0,,,,,"13,580.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-GB5-TY,,,,,"Galaxy Book5 Pro, 14""/i5/16GB/512GB, Gray",NP940XHA-KG3HK,Y,NP940XHA-KG3HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro/buy/?modelCode=NP940XHA-KG3HK,NP940XHA-KG3HK,"11,180",,,,"11,180",Yes,Book5 Pro 360,"1,000",Yes,Book Tier 2: Mid (RRP $7000-11999),"1,098",N/A,,0,0,GB5 Thank you (eDM),RK3-Y13T-RX7M-3XEY,10%,,"10,062.00",2025/02/11,Z-EF-LPUN4PBEGWW,,Z-EE-P5400USEGWW,,,,,,,,"Z-EF-LPUN4PBEGWW,Z-EE-P5400USEGWW",2,"
●  1 x  Galaxy Book Slim Pouch 14"" [Z-EF-LPUN4PBEGWW]
●  1 x  Mutiport Adapter [Z-EE-P5400USEGWW]
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-CRMeDM,,,,,"Galaxy Book5 360, 15.6""/i7/16GB/1TB, Gray",NP750QHA-KA3HK,Y,NP750QHA-KA3HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro360/buy/?modelCode=NP750QHA-KA3HK,NP750QHA-KA3HK,"11,980","10,980",,,"10,980",Yes,Book5 Pro 360,"1,000",Yes,Book Tier 2: Mid (RRP $7000-11999),"1,098",N/A,,0,0,GB5 CRM Offer (eDM),UD2-PFX7-DY8K-DEYH,10%,,"9,882.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Key,GB5-CRMePR,,,,,"Galaxy Book5 360, 15.6""/i5/16GB/512GB, Gray",NP750QHA-KA1HK,Y,NP750QHA-KA1HK,https://www.samsung.com/hk/computers/galaxy-book/galaxy-book5-pro360/buy/?modelCode=NP750QHA-KA1HK,NP750QHA-KA1HK,"10,380","9,380",,,"9,380",Yes,Book5 Pro 360,"1,000",Yes,Book Tier 2: Mid (RRP $7000-11999),"1,098",N/A,,0,0,GB5 CRM Offer (ePromoter),UD6-1EW9-FP5Z-5MZL,10%,,"8,442.00",2025/02/11,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,0,,,,,0.00,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,0,0,,,0,,,0,,,0,,,0,0,,,,,0.00,,,,,,,,,,,,,0,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
