Bundle EPP,,,,,,96,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,,"Auto
Result",Result,Step,,Code,,SKU List,,,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty,GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Auto Test Results,Duration
,,,,,2,EPP Cart Link,,,"Galaxy Watch Ultra, Titanium Gray",,,SM-L705FDAATGY,EPP,"
",SM-L705FDAATGY,1,1,"5,098","5,098","3,824","3,824",,,0,,1600,RRP,"3,498.00","3,498.00","3,498.00","3,498.00",,"3,498.00",,,"3,498.00",,,,,,,,,,,,,,,,,,,
MXBUN-11,W7 L315 B3P,,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L315FZGATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L315FZGATGY",SM-R630NZAATGY,EPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,0,,,,"1,499.00","1,499.00","1,499.00","3,097.00","1,499.00","3,097.00",150.00,"1,426.40","2,947.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Watch7 44mm (LTE), Green",,,SM-L315FZGATGY,EPP,"
0",SM-L315FZGATGY,1,0,"2,998","2,998","2,249","2,249",,,0,,1400,RRP,"1,598.00","1,598.00","1,598.00","1,598.00",,"1,598.00",,,"1,598.00",,,,,,,,,,,,,,,,,,,
MXBUN-12,W7 L310 B3,,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L310NZGATGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-L310NZGATGY",SM-R530NZAATGY,EPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,0,,,,"1,049.00","1,049.00",0.00,"1,198.00","1,049.00","2,247.00",0.00,"1,049.00","2,247.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Watch7 44mm (BT), Green",,,SM-L310NZGATGY,EPP,"
",SM-L310NZGATGY,1,1,"2,598","2,598","1,949","1,949",,,0,,1400,RRP,"1,198.00","1,198.00","1,198.00","1,198.00",,"1,198.00",,,"1,198.00",,,,,,,,,,,,,,,,,,,
MXBUN-13,W7 L305 B3P,,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L305FZEATGY&&products[1].quantity=1,"SM-R630NZAATGY, SM-L305FZEATGY",SM-R630NZAATGY,EPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,0,0,,,,"1,499.00","1,499.00","1,499.00","2,897.00","1,499.00","2,897.00",0.00,"1,499.00","2,897.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Watch7 40mm (LTE), Cream",,,SM-L305FZEATGY,EPP,"
",SM-L305FZEATGY,1,1,"2,798","2,798","2,099","2,099",,,0,,1400,RRP,"1,398.00","1,398.00","1,398.00","1,398.00",,"1,398.00",,,"1,398.00",,,,,,,,,,,,,,,,,,,
MXBUN-14,W7 L300 B3,,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L300NZEATGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-L300NZEATGY",SM-R530NZAATGY,EPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,0,0,,,,"1,049.00","1,049.00",0.00,998.00,"1,049.00","2,047.00",0.00,"1,049.00","2,047.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Watch7 40mm (BT), Cream",,,SM-L300NZEATGY,EPP,"
",SM-L300NZEATGY,1,1,"2,398","2,398","1,799","1,799",,,0,,1400,RRP,998.00,998.00,998.00,998.00,,998.00,,,998.00,,,,,,,,,,,,,,,,,,,
MXBUN-15,A Fit3,,,,1,Add all to cart using this link,,,Galaxy Fit3,https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R390NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-R390NZAATGY, SM-A5660ZKDTGY",SM-R390NZAATGY,EPP,"
",SM-R390NZAATGY,1,1,498,498,423,423,,,0,200,10000%,RRP,398.00,398.00,398.00,398.00,398.00,198.00,"3,197.00",150.00,188.71,"3,047.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite",,,SM-A5660ZKDTGY,EPP,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698","2,999","2,999",200,,200,,,,,"2,999.00","2,999.00",0.00,,"2,999.00",,,"2,999.00",,,,,,,,,,,,,,,,,,,
MXBUN-15,Non-A Fit3,,,,1,Add all to cart using this link,,,Galaxy Fit3,https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-R390NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-S9370LBGTGY&&products[1].quantity=1,"SM-R390NZAATGY, SM-S9370LBGTGY",SM-R390NZAATGY,EPP,"
",SM-R390NZAATGY,1,1,498,498,423,423,,,0,200,,,,423.00,423.00,423.00,423.00,223.00,"8,493.00",150.00,219.06,"8,343.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy S25 Edge, 512GB+12GB, Titanium Icyblue",,,SM-S9370LBGTGY,EPP,"
",SM-S9370LBGTGY,1,1,"9,398","9,398","8,270","8,270",200,,200,,,,,"8,270.00","8,270.00",0.00,,"8,270.00",,,"8,270.00",,,,,,,,,,,,,,,,,,,
MX-TAB-01,S25 Tab S10FE+,,,,1,Add all to cart using this link,,,"Galaxy S25 Ultra, 1TB+16GB, Titanium Silverblue",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZBWTGY&&products[0].quantity=1&&products[1].productCode=SM-X626BZAETGY&&products[1].quantity=1,"SM-S9380ZBWTGY, SM-X626BZAETGY",SM-S9380ZBWTGY,EPP,"
",SM-S9380ZBWTGY,1,1,"13,398","13,398","11,120","11,120",350,,350,"1,430",,,,"11,120.00","11,120.00",0.00,0.00,"11,120.00","16,039.00",150.00,"11,016.00","15,889.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 FE+, Gray, 12GB, 256GB",,,SM-X626BZAETGY,EPP,"
",SM-X626BZAETGY,1,1,"6,388","6,388","4,919","4,919","1,080",,"1,080",,800,RRP,"4,919.00","4,919.00","4,919.00",0.00,,"4,919.00",,,"4,919.00",,,,,,,,,,,,,,,,,,,
MX-TAB-02,S25 Tab S10FE+,,,,1,Add all to cart using this link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-S9360ZKGTGY&&products[0].quantity=1&&products[1].productCode=SM-X620NLBETGY&&products[1].quantity=1,"SM-S9360ZKGTGY, SM-X620NLBETGY",SM-S9360ZKGTGY,EPP,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,136","7,136",300,,300,"1,380",,,,"7,136.00","7,136.00",0.00,0.00,"7,136.00","11,439.00",150.00,"7,042.43","11,289.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 FE+, Light Blue, 12GB, 256GB",,,SM-X620NLBETGY,EPP,"
",SM-X620NLBETGY,1,1,"5,588","5,588","4,303","4,303","1,080",,"1,080",,800,RRP,"4,303.00","4,303.00","4,303.00",0.00,,"4,303.00",,,"4,303.00",,,,,,,,,,,,,,,,,,,
MX-TAB-02,S25 Tab S10FE,,,,1,Add all to cart using this link,,,"Galaxy S25+, 512GB+12GB, Navy",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-S9360DBGTGY&&products[0].quantity=1&&products[1].productCode=SM-X526BZAETGY&&products[1].quantity=1,"SM-S9360DBGTGY, SM-X526BZAETGY",SM-S9360DBGTGY,EPP,"
",SM-S9360DBGTGY,1,1,"8,598","8,598","7,136","7,136",300,,300,"1,380",,,,"7,136.00","7,136.00",0.00,0.00,"7,136.00","11,285.00",150.00,"7,041.15","11,135.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 FE, Gray, 12GB, 256GB",,,SM-X526BZAETGY,EPP,"
",SM-X526BZAETGY,1,1,"5,388","5,388","4,149","4,149","1,080",,"1,080",,600,RRP,"4,149.00","4,149.00","4,149.00",0.00,,"4,149.00",,,"4,149.00",,,,,,,,,,,,,,,,,,,
MX-TAB-03,S25 Tab S10FE,,,,1,Add all to cart using this link,,,"Galaxy S25, 256GB+8GB, Mint",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=SM-S9310LGGTGY&&products[0].quantity=1&&products[1].productCode=SM-X520NZAATGY&&products[1].quantity=1,"SM-S9310LGGTGY, SM-X520NZAATGY",SM-S9310LGGTGY,EPP,"
",SM-S9310LGGTGY,1,1,"5,898","5,898","5,013","5,013",300,,300,"1,380",,,,"5,013.00","5,013.00",0.00,0.00,"5,013.00","7,930.00",150.00,"4,918.18","7,780.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 FE, Gray, 8GB, 128GB",,,SM-X520NZAATGY,EPP,"
",SM-X520NZAATGY,1,1,"3,788","3,788","2,917","2,917","1,080",,"1,080",,600,RRP,"2,917.00","2,917.00","2,917.00",0.00,,"2,917.00",,,"2,917.00",,,,,,,,,,,,,,,,,,,
TAB-AY-01,Tab S10U accy,,,,1,Add all to cart using this link,,,Galaxy Tab S10U Book Cover Keyboard - AI Key White,https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=EF-DX925UWEGWW&&products[0].quantity=1&&products[1].productCode=SM-X920NZAITGY&&products[1].quantity=1,"EF-DX925UWEGWW, SM-X920NZAITGY",EF-DX925UWEGWW,EPP,"
",EF-DX925UWEGWW,1,1,"1,999","1,999","1,499","1,499",,,0,500,30%,RRP,"1,399.30","1,399.30","1,399.30","1,399.30","1,399.30",899.30,"9,711.30",150.00,885.41,"9,561.30",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 Ultra Wifi, 16GB+1TB, Moonstone Gray (Online Exclusive)",,,SM-X920NZAITGY,EPP,"
",SM-X920NZAITGY,1,1,"12,588","12,588","8,812","8,812",500,,500,,,,,"8,812.00","8,812.00",0.00,,"8,812.00",,,"8,812.00",,,,,,,,,,,,,,,,,,,
TAB-AY-02,Tab S10+ accy,,,,1,Add all to cart using this link,,,Galaxy Tab S10+  Book Cover Keyboard - AI Key White,https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=EF-DX825UWEGWW&&products[0].quantity=1&&products[1].productCode=SM-X826BZAETGY&&products[1].quantity=1,"EF-DX825UWEGWW, SM-X826BZAETGY",EF-DX825UWEGWW,EPP,"
",EF-DX825UWEGWW,1,1,"1,299","1,299",974,974,,,0,500,30%,RRP,909.30,909.30,909.30,909.30,909.30,409.30,"8,319.30",150.00,401.92,"8,169.30",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10+ 5G, 12GB+512GB, Moonstone Gray",,,SM-X826BZAETGY,EPP,"
",SM-X826BZAETGY,1,1,"9,888","9,888","7,910","7,910",500,,500,,,,,"7,910.00","7,910.00",0.00,,"7,910.00",,,"7,910.00",,,,,,,,,,,,,,,,,,,
TAB-AY-03,Tab S10 FE accy 1,,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Book Cover Keyboard Slim — AI Key Black",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=EF-DX720UBEGWW&&products[0].quantity=1&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-DX720UBEGWW, SM-X520NLBETGY",EF-DX720UBEGWW,EPP,"
",EF-DX720UBEGWW,1,1,799,799,599,599,,,0,"1,080",300,RRP,499.00,499.00,499.00,499.00,499.00,0.00,"3,533.00",150.00,0.00,"3,383.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB",,,SM-X520NLBETGY,EPP,"
",SM-X520NLBETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,"1,080",,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,
TAB-AY-04,Tab S10 FE accy 2,,,,1,Add all to cart using this link,,,"Galaxy Tab S10 FE / Tab S9 , Book Cover Keyboard — AI Key White",https://shop.samsung.com/hk/multistore/hkepp/samsunghkem/ng/p4v1/addToCart?products[0].productCode=EF-DX725UWEGWW&&products[0].quantity=1&&products[1].productCode=SM-X520NLBETGY&&products[1].quantity=1,"EF-DX725UWEGWW, SM-X520NLBETGY",EF-DX725UWEGWW,EPP,"
",EF-DX725UWEGWW,1,1,"1,199","1,199",899,899,,,0,"1,080",500,RRP,699.00,699.00,699.00,699.00,699.00,0.00,"3,533.00",150.00,0.00,"3,383.00",,,,,,,,,,,,,,,,,,
,,,,,2,EPP Cart Link,,,"Galaxy Tab S10 FE, Light Blue, 12GB, 256GB",,,SM-X520NLBETGY,EPP,"
",SM-X520NLBETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,"1,080",,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,
